업체명,품목명,주소,대표전화번호,시도명,시군구명
럭키수퍼,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 광나루로 11길 28,02-498-0069,서울특별시,성동구
DS로지스,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 용답23길 20-1 (용답동),02-2245-4929,서울특별시,성동구
이마트 자양점,생필품,서울특별시 광진구 아차산로 272,02-3425-3323,서울특별시,광진구
롯데마트 강변점,생필품,서울특별시 광진구 광나루로 56길 85,02-3424-2506,서울특별시,광진구
홈플러스 구의점,생필품,서울특별시 광진구 자양로 168,02-2201-8545,서울특별시,광진구
홈플러스 구의2점,생필품,서울특별시 광진구 아차산로 473,02-458-8545,서울특별시,광진구
롯데슈퍼마켓 구의점,생필품,서울특별시 광진구 아차산로 450,02-452-5601,서울특별시,광진구
롯데슈퍼마켓 중곡점,생필품,서울특별시 광진구 긴고랑로 60,02-453-5604,서울특별시,광진구
그린팜마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 왕산로 108,02-969-4040,서울특별시,동대문구
부산상회,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 경동시장로10길 12,02-963-1440,서울특별시,동대문구
양평할인공판장,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 서울시립대로7길 8,02-2212-6662,서울특별시,동대문구
롯데슈퍼,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 사가정로 148,02-2248-8361,서울특별시,동대문구
우일슈퍼,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 사가정로 37,070-7518-7546,서울특별시,동대문구
참조은마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 전농로 44,02-2246-0070,서울특별시,동대문구
싱싱할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 답십리로66길 87,02-2215-9033,서울특별시,동대문구
전곡할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 한천로 190,02-2247-7879,서울특별시,동대문구
웰빙마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 제기로 132,02-969-8600,서울특별시,동대문구
GS25,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 회기로25길 23,02-967-7029,서울특별시,동대문구
충주상회,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 외대역동로1길 24,02-2216-0552,서울특별시,동대문구
서흥하이퍼마켓,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 망우로16길 20,02-2245-3351,서울특별시,동대문구
GS외대휘경점,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 휘경로 30,02-957-2522,서울특별시,동대문구
럭키할인마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 동대문구 신이문로 27,02-967-7678,서울특별시,동대문구
홈플러스면목점,생필품,서울특별시 중랑구 면목천로 33,02-439-2045,서울특별시,중랑구
이마트상봉점,생필품,서울특별시 중랑구 상봉로 118,02-490-1234,서울특별시,중랑구
이마트묵동점,생필품,서울특별시 중랑구 동일로932,02-2094-1234,서울특별시,중랑구
홈플러스신내점,생필품,서울특별시 중랑구 신내로 201,02-2024-8124,서울특별시,중랑구
홈플러스상봉점,생필품,서울특별시 중랑구 망우로 353,02-6922-8100,서울특별시,중랑구
롯데슈퍼,"생필품, 생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 겸재로9길23,02-432-3043,서울특별시,중랑구
하모니마트 면목점,"생수, 쌀, 기타생필품",서울특별시 중랑구 면목로 48길 39,02-2207-5785,서울특별시,중랑구
면목공판장,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 면목로30길 7,02-436-1401,서울특별시,중랑구
유마트,"생수,쌀,부식류,부탄가스, 분유세트,기저귀,모기약 등",서울특별시 중랑구 면목로35길 9,02-494-0016,서울특별시,중랑구
현대홈마트,생필품,서울특별시 중랑구 상봉중앙로 57,02-434-5551,서울특별시,중랑구
수마트,"쌀,생수 기타 생필품",서울특별시 중랑구 봉우재로99,02-496-5678,서울특별시,중랑구
복지할인마트,"쌀, 생수,기타 생필품",서울특별시 중랑구 동일로 796 ,02-496-8366,서울특별시,중랑구
정나눔마트,생활용품,서울특별시 중랑구 봉화산로3길 59,02-437-7077,서울특별시,중랑구
더브러마트,"쌀, 생수, 기타 생필품",서울특별시 중랑구 공릉로2길31,02-971-8332,서울특별시,중랑구
롯데수퍼 묵동점,"생수, 쌀, 부식류, 부탄가스, 표백제 등",서울특별시 중랑구 동일로 887,02-949-6401,서울특별시,중랑구
농협하나로마트(망우점),"쌀, 생수, 기타 생필품",서울특별시 중랑구 용마산로118길 94,02-433-8022,서울특별시,중랑구
용마공판장,"생수, 쌀, 부식류, 부탄가스, 분유세트, 기저귀, 모기약 등",서울특별시 중랑구 용마공원로 38,02-435-4373,서울특별시,중랑구
수협바다마트,"식품, 잡화 전품목",서울특별시 중랑구 신내로14길 21,02-3723-0100,서울특별시,중랑구
농협하나로마트(신내점),"생수, 쌀, 부탄가스, 분유, 젖병, 부식류, 즉석식품 등 ",서울특별시 중랑구 신내로 74,02-493-3080,서울특별시,중랑구
G마트,생필품,서울특별시 강북구 한천로144길 12,02-990-2165,서울특별시,강북구
롯데마트삼양점,생필품,서울특별시 강북구 삼양로 247,02-944-1520,서울특별시,강북구
롯데마트수유점,생필품,서울특별시 강북구 도봉로67길 18 ,02-981-5601,서울특별시,강북구
하나로마트 창동점,생필품,서울특별시 도봉구 마들로11길 20 ,02-3499-6121,서울특별시,도봉구
(주)이마트 월계점,"생수 ,쌀, 부식류, 부탄가스, 살균표백제, 즉석식품 등",서울특별시 노원구 마들로3길15,02-2092-1051,서울특별시,노원구
진흥마켓,"생수, 쌀, 부탄가스, 분유",서울특별시 은평구 은평로 203,02-385-0044,서울특별시,은평구
지마트,생필품,서울특별시 서대문구 연희로 245,02-325-8249,서울특별시,서대문구
현대그린마트,생필품,서울특별시 서대문구 통일로 201-1,02-364-5433,서울특별시,서대문구
스타슈퍼,생필품,서울특별시 서대문구 북아현로 62,02-363-3230,서울특별시,서대문구
신촌오렌지마트,생필품,서울특별시 서대문구 이화여대길 50-12,02-365-8245,서울특별시,서대문구
신라마트,생필품,서울특별시 서대문구 북아현로 4길 9-2,02-313-8115,서울특별시,서대문구
연세마트,생필품,서울특별시 서대문구 홍연8길 3,02-332-4799,서울특별시,서대문구
진성할인마트,생필품,서울특별시 서대문구 간호대로 20,02-391-8884,서울특별시,서대문구
마당쇠 할인마트,생필품,서울특별시 서대문구 홍은중앙로 81,02-395-9663,서울특별시,서대문구
하나마트,생필품,서울특별시 서대문구 모래내로 352-3,02-395-5600,서울특별시,서대문구
진성마트,생필품,서울특별시 서대문구 증가로10길 16-41,02-302-4980,서울특별시,서대문구
에덴할인마트,생필품,서울특별시 서대문구 증가로25길 33,02-375-2820,서울특별시,서대문구
서서울농협하나로마트(서강점),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 창전로 45 서강한화오벨리스크,02-3144-5253,서울특별시,마포구
합정마트(합정역),"생수, 쌀 등 식품류, 생활용품 ","서울특별시 마포구 양화진길5, 합정아파트",02-334-6323,서울특별시,마포구
서민구판장(망원역),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 망원로8길 43,02-335-2494,서울특별시,마포구
다농마트(마포농수산물센터),"생수, 쌀 등 식품류, 생활용품 ",서울특별시 마포구 월드컵로 211,02-303-9893,서울특별시,마포구
홈플러스 목동점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 목동서로 170,02-2644-2080,서울특별시,양천구
이마트 신월점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 화곡로 59,02-6716-1240,서울특별시,양천구
경서농협하나로마트 신정점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 신월로 313,02-2696-8012,서울특별시,양천구
이마트가양점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 양천로 559,02-2101-1053,서울특별시,강서구
홈플러스 강서점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 화곡로 398,02-2660-8000,서울특별시,강서구
강서농업협동조합,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 금낭화로 127,02-2669-6153,서울특별시,강서구
롯데마트구로점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 경인로482,02-2639-2521,서울특별시,구로구
이마트구로점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 디지털로32길43,02-2009-1051,서울특별시,구로구
홈플러스신도림점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 경인로661,02-2618-2080,서울특별시,구로구
홈플러스,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로 201,02-895-2080,서울특별시,금천구
하모니마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 가산로 116,02-853-9933,서울특별시,금천구
빅마켓,"쌀, 부탄가스, 세제류",서울특별시 금천구 두산로71,02-809-2500,서울특별시,금천구
홈플러스,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로391,02-890-8000,서울특별시,금천구
가락공판장 해나온식자재마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로204,02-808-5100,서울특별시,금천구
그랜드마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로142길 23,02-851-2351,서울특별시,금천구
제일소비자유통,"쌀, 부탄가스, 세제류",서울특별시 금천구 남부순환로126길 15,02-858-5838,서울특별시,금천구
농심할인마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로74길 14,02-864-9291,서울특별시,금천구
소비자유통,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로62길 60,02-892-5533,서울특별시,금천구
금천식자재마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 금하로 763,02-893-3650,서울특별시,금천구
고려할인마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로18길16,02-809-8286,서울특별시,금천구
아울렛마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로40길29,02-893-4545,서울특별시,금천구
은행나무마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 금하로 705,02-891-4666,서울특별시,금천구
홈플러스영등포점,"쌀, 부탄가스, 세제류",서울특별시 영등포구 당산로 42,02-2165-8112,서울특별시,영등포구
이마트영등포점,"쌀, 부탄가스, 세제류",서울특별시 영등포구 영중로 15,02-3468-1050,서울특별시,영등포구
바다마트,생필품,서울특별시 동작구 만양로 84,02-813-6114,서울특별시,동작구
진로마트,생필품,서울특별시 동작구 장승배기로 113,02-817-0091,서울특별시,동작구
동남할인마트,생필품,서울특별시 동작구 상도로37길 54,02-814-2811,서울특별시,동작구
웰빙마트,생필품,서울특별시 동작구 상도로 340,02-823-9822,서울특별시,동작구
이마트 에브리데이 상도점,생필품,서울특별시 동작구 상도로31길 19,02-823-3651,서울특별시,동작구
성대마트,생필품,서울특별시 동작구 상도로 102,02-825-0400,서울특별시,동작구
삼원마트,생필품,서울특별시 동작구 상도로22길 37,02-822-2934,서울특별시,동작구
고마트,생필품,서울특별시 동작구 양녕로26나길 8,02-821-8305,서울특별시,동작구
하나로마트 흑석점,생필품,서울특별시 동작구 서달로 150,02-813-7013,서울특별시,동작구
이마트,생필품,서울특별시 동작구 사당로300 B1,02-595-1234,서울특별시,동작구
왕창할인마트,생필품,서울특별시 동작구 동작대로29길 63-6,02-533-2842,서울특별시,동작구
코사마트,생필품,서울특별시 동작구 사당로13길 86,02-596-3710,서울특별시,동작구
대림슈퍼,생필품,서울특별시 동작구 사당로17길 85,02-533-8834,서울특별시,동작구
홈플러스익스프레스남성점,생필품,서울특별시 동작구 사당로215,02-3481-8541,서울특별시,동작구
남부농협 (남성역점),생필품,서울특별시 동작구 사당로16길 35,02-525-1500,서울특별시,동작구
신세기마트,생필품,서울특별시 동작구 사당로 244,02-588-3843,서울특별시,동작구
GS슈퍼마켓,생필품,서울특별시 동작구 쑥고개로 111,02-873-0637,서울특별시,동작구
세이브마트,생필품,서울특별시 동작구 난곡로 220,02-856-6022,서울특별시,동작구
하모니마트,생필품,서울특별시 서초구 사임당로 84,02-584-2394,서울특별시,서초구
현대할인마트,생필품,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 ",02-522-0468,서울특별시,서초구
프리마트,생필품,서울특별시 서초구 효령로46길 5,02-522-9876,서울특별시,서초구
이마트에브리데이 서초동점,생필품,서울특별시 서초구 서운로 216,02-534-3651,서울특별시,서초구
코끼리마트,생필품,서울특별시 서초구 강남대로95길 52 ,02-3444-1285,서울특별시,서초구
뉴엘루체마트,생필품,서울특별시 서초구 신반포로 23,02-593-8288,서울특별시,서초구
강남공판장,생필품,서울특별시 서초구 사평대로55길 140,02-517-5976,서울특별시,서초구
롯데슈퍼 신반포점,생필품,서울특별시 서초구 신반포로15길 29,02-595-4617,서울특별시,서초구
뉴코아아울렛 강남점,생필품,서울특별시 서초구 잠원로 51,02-530-5000,서울특별시,서초구
서래그린마트,생필품,서울특별시 서초구 사평대로26길 58,02-534-1288,서울특별시,서초구
원마트,생필품,서울특별시 서초구 방배로37길 11,02-535-8565,서울특별시,서초구
코끼리마트방배점,생필품,서울특별시 서초구 방배중앙로 30,02-525-8955,서울특별시,서초구
방배 굿모닝마트,생필품,서울특별시 서초구 방배천로16길 18,02-597-8856,서울특별시,서초구
대농마트,생필품,서울특별시 서초구 방배로76(지층),02-587-4145,서울특별시,서초구
롯데슈퍼(방배2점),생필품,서울특별시 서초구 방배로33길29,02-536-0004,서울특별시,서초구
다인마트,생필품,서울특별시 서초구 바우뫼로7길 8 ,02-578-9128,서울특별시,서초구
영동농협,생필품,서울특별시 서초구 동산로6길 3,02-571-8388,서울특별시,서초구
CU편의점,생필품,서울특별시 서초구 염곡말길19,02-575-3118,서울특별시,서초구
이마트역삼점,생필품,서울특별시 강남구 논현로11길53,02-6908-1234,서울특별시,강남구
GS 슈퍼마켓 강남영동점,생필품,서울특별시 강남구 강남대로128길 20 (논현동),02-548-6071,서울특별시,강남구
롯데마트 월드타워점,생필품,서울특별시 송파구 올림픽로 269,02-2145-8000,서울특별시,송파구
이마트가든파이브점,생필품,서울특별시 송파구 충민로 10 가든파이브툴,02-411-1234,서울특별시,송파구
이마트 천호점,생필품,서울특별시 강동구 천호대로 1017,02-2224-1234,서울특별시,강동구
농협하나로마트 자갈치점,"쌀, 생수, 부탄가스, 부식 등",부산광역시 중구 구덕로 73(남포동),051-250-7704,부산광역시,중구
롯데마트 광복점,"쌀, 생수, 부탄가스, 부식 등",부산광역시 중구 중앙대로2,051-250-2921,부산광역시,중구
세용마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 서구 대영로 78(동대신동),051-242-2826,부산광역시,서구
홈플러스 수퍼 좌천점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 동구 고관로 143(좌천동),051-647-8564,부산광역시,동구
홈플러스 영도점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 영도구 대교로14번길 57,051-419-8120,부산광역시,영도구
㈜대교마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 영도구 태종로 393,051-413-5577,부산광역시,영도구
이마트 서면점,"쌀, 생수, 부탄가스, 부식, 즉석식품 등",부산광역시 부산진구 시민공원로 31(부암동),051-718-1050,부산광역시,부산진구
동래메가마트,"생수, 부탄가스, 분유세트 등",부산광역시 동래구 충렬대로 197(명륜동),051-550-6021,부산광역시,동래구
휴마트 명륜점,"생수, 부탄가스, 분유세트 등",부산광역시 동래구 문화로 7,051-553-5057,부산광역시,동래구
더마트 대연점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 남구 진남로 115-7,051-621-9976,부산광역시,남구
농협하나로마트,"쌀, 부식류, 생필품 등",부산광역시 북구 금곡대로 469(금곡동),051-330-9068,부산광역시,북구
롯데마트 화명점,"쌀, 부식류, 생필품 등",부산광역시 북구 화명대로 47,051-604-2522,부산광역시,북구
메가마트 덕천점,"쌀, 부식류, 생필품 등",부산광역시 북구 기찰로 164(덕천동),051-241-6000,부산광역시,북구
이마트 해운대점,"생수, 부탄가스, 분유세트 등",부산광역시 해운대구 좌동순환로 511,051-608-1054,부산광역시,해운대구
홈플러스 센텀시티점,"생수, 부탄가스, 분유세트 등",부산광역시 해운대구 센텀동로 6(우동),051-709-8121,부산광역시,해운대구
서원유통 신평점,"쌀, 부식류, 생필품 등",부산광역시 사하구 하신중앙로 260,051-293-8483,부산광역시,사하구
서원유통 신다대점,"쌀, 부식류, 생필품 등",부산광역시 사하구 다송로 58,051-266-8255,부산광역시,사하구
서원유통 감천점,"쌀, 부식류, 생필품 등",부산광역시 사하구 감천로 29,051-202-3555,부산광역시,사하구
서원유통 당리점,"쌀, 부식류, 생필품 등",부산광역시 사하구 낙동대로353,051-291-0035,부산광역시,사하구
서원유통 장림점,"쌀, 부식류, 생필품 등",부산광역시 사하구 다대로300번길 8,051-262-1991,부산광역시,사하구
금정농협하나로마트,"생수, 부탄가스, 분유세트 등",부산광역시 금정구 금강로 717(남산동),051-580-8862,부산광역시,금정구
롯데마트 금정점,"생수, 부탄가스, 분유세트 등",부산광역시 금정구 중앙대로 1731(부곡동),051-580-7700,부산광역시,금정구
대저농협하나로마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 강서구 대저로 229(대저동),051-971-1967,부산광역시,강서구
강서할인마트 대저점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 강서구 대저로 199,051-831-4987,부산광역시,강서구
이마트 연제점,"쌀, 부식류, 생필품 등",부산광역시 연제구 연수로 89(연산동),051-860-1050,부산광역시,연제구
한양스토아 남천점,"생수, 부탄가스, 부식류 등","부산광역시 수영구 광안해변로 95,비치아파트 A상가",051-624-3131,부산광역시,수영구
㈜농심 부산지사,라면,부산광역시 사상구 사상로455번길 46,051-510-5510,부산광역시,사상구
이마트 사상점,"쌀, 부식류, 생필품 등",부산광역시 사상구 광장로 17,051-329-1004,부산광역시,사상구
비세일마트 교리점,"쌀, 생수, 부탄가스, 분유세트 등",부산광역시 기장군 기장읍 차성동로 174,051-722-0207,부산광역시,기장군
탑마트 기장점,"쌀, 생수, 부탄가스, 분유세트 등",부산광역시 기장군 기장읍 대청로71번길 5,051-722-1001,부산광역시,기장군
대백프라자,"쌀, 부식류, 생필품 등",대구광역시 중구 명덕로 333(대봉동),053-420-8708,대구광역시,중구
대구백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 동성로 30,053-420-8708,대구광역시,중구
동아백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 달구벌대로 2085(덕산동),053-251-3391,대구광역시,중구
현대백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 달구벌대로 2077(계산동),053-245-3104,대구광역시,중구
홈플러스 동촌점,"쌀, 부식류, 생필품 등",대구광역시 동구 동촌리 127(검사동),053-559-2080,대구광역시,동구
하나로마트 대구축협 본점,"쌀, 부식류, 생필품 등",대구광역시 동구 동북로 296(신암동),053-957-9901,대구광역시,동구
홈마트 신서점,"쌀, 부식류, 생필품 등",대구광역시 동구 반야월북로55길 2(신서동),053-961-0087,대구광역시,동구
대백마트 불로점,"쌀, 부식류, 생필품 등",대구광역시 동구 팔공로28길 6(불로동),053-981-2555,대구광역시,동구
내고장할인마트,"쌀, 부식류, 생필품 등",대구광역시 동구 아양로37길 14(신암동),053-957-8092,대구광역시,동구
홈플러스 내당점,"쌀, 부식류, 생필품 등",대구광역시 서구 달구벌대로 1821(내당동),053-567-2080,대구광역시,서구
이마트 비산점,"쌀, 부식류, 생필품 등",대구광역시 서구 팔달로 54(비산동),053-714-1050,대구광역시,서구
하나로마트 서대구농협,"쌀, 부식류, 생필품 등",대구광역시 서구 서대구로 92(평리동),053-561-8860,대구광역시,서구
대백마트 봉덕지점,"쌀, 부식류, 생필품 등",대구광역시 남구 대봉로 78(봉덕동),053-652-7788,대구광역시,남구
윌마트 본점,"쌀, 부식류, 생필품 등",대구광역시 남구 대봉로 92(이천동),053-476-2150,대구광역시,남구
하나로마트 대구축협봉덕점,"쌀, 부식류, 생필품 등",대구광역시 남구 봉덕로 105(봉덕동),053-476-9904,대구광역시,남구
홈플러스 대구점,"쌀, 부식류, 생필품 등",대구광역시 북구 중앙대로 543(칠성동),053-350-8121,대구광역시,북구
홈플러스 칠곡점,"쌀, 부식류, 생필품 등",대구광역시 북구 동암로12길 8(동천동),053-607-8124,대구광역시,북구
이마트 칠성점,"쌀, 부식류, 생필품 등","대구광역시 북구 침산로 93(칠성동, 스펙트럼시티)",053-609-1119,대구광역시,북구
롯데마트 칠성점,"쌀, 부식류, 생필품 등",대구광역시 북구 호암로 1(칠성동),053-715-2520,대구광역시,북구
하나로마트 동대구농협본점,"쌀, 부식류, 생필품 등",대구광역시 수성구 달구벌대로 2487(범어동),053-751-0094,대구광역시,수성구
이마트 만촌점,"쌀, 부식류, 생필품 등",대구광역시 수성구 동원로 136(만촌동),053-602-1052,대구광역시,수성구
동아백화점 수성점,"쌀, 부식류, 생필품 등",대구광역시 수성구 지범로 191(범물동),053-780-2301,대구광역시,수성구
동아마트 수성점,"쌀, 부식류, 생필품 등","대구광역시 수성구 수성로 393(수성동4가, 수성하이츠)",053-754-2031,대구광역시,수성구
이마트 성서점,"쌀, 부식류, 생필품 등",대구광역시 달서구 이곡동로 24(이곡동),053-605-1119,대구광역시,달서구
이마트 월배점,"쌀, 부식류, 생필품 등",대구광역시 달서구 진천로 92(대천동),053-607-1050,대구광역시,달서구
홈플러스 성서점,"쌀, 부식류, 생필품 등",대구광역시 달서구 달구벌대로 1467(용산동),053-550-8121,대구광역시,달서구
홈플러스 상인점,"쌀, 부식류, 생필품 등",대구광역시 달서구 월배로 183(상인동),053-380-8121,대구광역시,달서구
하나로마트 달성점,"쌀, 부식류, 생필품 등",대구광역시 달성군 화원읍 성천로 9,053-607-2051,대구광역시,달성군
성원할인마트,"쌀, 부식류, 생필품 등",대구광역시 달성군 논공읍 논공로21길 14-16,053-614-8481,대구광역시,달성군
대백마트 다사점,"쌀, 부식류, 생필품 등",대구광역시 달성순 다사읍 달구벌대로174길 7,053-588-7007,대구광역시,달성순
공단할인마트,"쌀, 부식류, 생필품 등",대구광역시 달성군 옥포읍 시저로 4,053-611-2508,대구광역시,달성군
킹스할인마트 현풍점,"쌀, 부식류, 생필품 등",대구광역시 달성군 현풍읍 비슬로130길 10,053-611-0231,대구광역시,달성군
이마트 트레이더스 송림점,"쌀, 부식류, 생필품 등",인천광역시 동구 봉수대로 82(송림동),032-722-1119,인천광역시,동구
이마트 인천공항점,"쌀, 부식류, 생필품 등",인천광역시 중구 공항로424번길 36(운서동),032-744-1234,인천광역시,중구
이마트 동인천점,"쌀, 부식류, 생필품 등",인천광역시 중구 인중로 134(신생동),032-451-1234,인천광역시,중구
홈플러스 숭의지점,"쌀, 부식류, 생필품 등",인천광역시 미추홀구 석정로 51(숭의동),032-719-2020,인천광역시,미추홀구
롯데슈퍼 연수점,"쌀, 부식류, 생필품 등",인천광역시 연수구 원이재로 59(동춘동),032-815-8114,인천광역시,연수구
남동농협 하나로마트,"쌀, 부식류, 생필품 등",인천광역시 남동구 장승로 28,032-460-6705,인천광역시,남동구
남동정수사업소,식수,인천시 남동구 장수동 668번지 ,032-720-2650,인천시,남동구
부평농협 하나로마트,"쌀, 부식류, 생필품 등",인천광역시 부평구 길주로 597(갈산동),032-500-2558,인천광역시,부평구
홈플러스 작전점,"쌀, 부식류, 생필품 등",인천광역시 계양구 계양대로 27(작전동),032-540-8000,인천광역시,계양구
이마트 계양점,"쌀, 부식류, 생필품 등",인천광역시 계양구 봉오대로 785(작전동),032-717-1234,인천광역시,계양구
홈플러스 인천가좌점,"쌀, 부식류, 생필품 등",인천광역시 서구 가정로151번길 11(가좌동),032-453-8124,인천광역시,서구
이마트 인천검단점,"쌀, 부식류, 생필품 등",인천광역시 서구 서곶로 754(당하동),032-440-1051,인천광역시,서구
롯데마트 인천청라점,"쌀, 부식류, 생필품 등",인천광역시 서구 청라커낼로 252(청라동),032-590-2521,인천광역시,서구
